"","x"
"901","ENST00000465252"
"902","ENST00000333479"
"903","ENST00000309784"
"904","ENST00000525807"
"905","ENST00000297591"
"906","ENST00000353107"
"907","ENST00000373644"
"908","ENST00000323699"
"909","ENST00000593341"
"910","ENST00000262043"
"911","ENST00000297689"
"912","ENST00000334482"
"913","ENST00000480945"
"914","ENST00000616533"
"915","ENST00000400175"
"916","ENST00000595962"
"917","ENST00000393430"
"918","ENST00000463004"
"919","ENST00000382021"
"920","ENST00000369684"
"921","ENST00000424225"
"922","ENST00000334464"
"923","ENST00000394689"
"924","ENST00000564647"
"925","ENST00000607016"
"926","ENST00000469483"
"927","ENST00000312637"
"928","ENST00000265174"
"929","ENST00000341460"
"930","ENST00000539493"
"931","ENST00000392730"
"932","ENST00000332070"
"933","ENST00000377733"
"934","ENST00000620989"
"935","ENST00000368567"
"936","ENST00000348610"
"937","ENST00000345392"
"938","ENST00000339600"
"939","ENST00000563310"
"940","ENST00000262995"
"941","ENST00000334534"
"942","ENST00000381344"
"943","ENST00000448741"
"944","ENST00000456586"
"945","ENST00000335698"
"946","ENST00000488342"
"947","ENST00000586443"
"948","ENST00000443963"
"949","ENST00000608872"
"950","ENST00000529900"
"951","ENST00000295228"
"952","ENST00000366997"
"953","ENST00000232125"
"954","ENST00000616743"
"955","ENST00000618412"
"956","ENST00000295030"
"957","ENST00000524717"
"958","ENST00000380943"
"959","ENST00000474582"
"960","ENST00000589189"
"961","ENST00000280098"
"962","ENST00000379550"
"963","ENST00000372383"
"964","ENST00000263708"
"965","ENST00000358595"
"966","ENST00000416762"
"967","ENST00000262461"
"968","ENST00000295702"
"969","ENST00000371158"
"970","ENST00000429774"
"971","ENST00000265381"
"972","ENST00000574285"
"973","ENST00000444746"
"974","ENST00000361802"
"975","ENST00000446924"
"976","ENST00000499247"
"977","ENST00000518161"
"978","ENST00000267890"
"979","ENST00000354811"
"980","ENST00000367255"
"981","ENST00000501272"
"982","ENST00000527794"
"983","ENST00000631494"
"984","ENST00000216181"
"985","ENST00000306999"
"986","ENST00000303319"
"987","ENST00000287322"
"988","ENST00000450302"
"989","ENST00000557320"
"990","ENST00000606497"
"991","ENST00000395094"
"992","ENST00000368838"
"993","ENST00000597451"
"994","ENST00000619101"
"995","ENST00000497292"
"996","ENST00000475243"
"997","ENST00000272895"
"998","ENST00000458537"
"999","ENST00000627745"
"1000","ENST00000320848"
"1001","ENST00000261890"
"1002","ENST00000396408"
"1003","ENST00000469337"
"1004","ENST00000504986"
"1005","ENST00000475937"
"1006","ENST00000553612"
"1007","ENST00000064778"
"1008","ENST00000312561"
"1009","ENST00000524543"
"1010","ENST00000332624"
"1011","ENST00000343325"
"1012","ENST00000260447"
"1013","ENST00000622676"
"1014","ENST00000342537"
"1015","ENST00000429102"
"1016","ENST00000370035"
"1017","ENST00000372390"
"1018","ENST00000601306"
